timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776168900.904,0.904,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.49309,1776168899000
1776168901.859,1.859,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.499931,1776168900000
1776168902.952,2.952,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.497915,1776168901000
1776168903.88,3.88,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.496065,1776168902000
1776168904.523,4.523,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.4865,1776168903000
1776168906.148,6.148,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.475626,1776168904000
1776168907.638,7.638,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.479695,1776168905000
1776168907.909,7.909,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.479833,1776168906000
1776168908.455,8.455,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.481076,1776168907000
1776168909.073,9.073,0.5,7.88,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.5,7.88,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.09,0.09,616.473447,1776168908000
